category,message
ham,Then any special there?
ham,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day
ham,Match started.india  &lt;#&gt;  for 2
ham,Goodmorning today i am late for  &lt;DECIMAL&gt; min.
ham,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards..."
ham,Well boy am I glad G wasted all night at applebees for nothing
ham,"I just got home babe, are you still awake ?"
ham,Sat right? Okay thanks...
ham,I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx
ham,NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT
ham,Gibbs unsold.mike hussey
ham,But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.
ham,I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
ham,If we win its really no 1 side for long time.
ham,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible
ham,"Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date."
ham,"What part of ""don't initiate"" don't you understand"
ham,Great. Never been better. Each day gives even more reasons to thank God
ham,Ranjith cal drpd Deeraj and deepak 5min hold
ham,Guess he wants alone time. We could just show up and watch when they do..
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run."
ham,"K I'm ready,  &lt;#&gt; ?"
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
ham,what number do u live at? Is it 11?
ham,Dear i have reache room
ham,Not from this campus. Are you in the library?
ham,Yup. Thk of u oso boring wat.
ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me
ham,What is important is that you prevent dehydration by giving her enough fluids
ham,Dear we are going to our rubber place
ham,* You gonna ring this weekend or wot?
ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748
ham,ARE YOU IN TOWN? THIS IS V. IMPORTANT
ham,I'm working technical support :)voice process.networking field.
ham,Wish i were with you now!
ham,Do you still have the grinder?
ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem
ham,Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/
ham,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
